Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
787015;-416323827;-411405678;-9242329;867549;22869346;70724817
787016;164302732;163356893;-9225472;857467;22863368;32946794
787017;140190229;134061009;-9240605;858897;22866158;74231573
787018;-405597640;-398406246;-9228680;859852;22860219;29686297
787019;405331771;398509034;-9215526;867140;22877094;77216311
787020;-217861670;-217784268;-9263415;864755;22846587;26948761
787021;-130578589;-126420006;-9254643;843596;22836074;79604680
787022;366773380;358125811;-9242449;880230;22871517;24850112
787023;-437419029;-431707310;-9252782;864456;22874282;81364983
787024;224533184;222361736;-9225604;862515;22865625;23436902
787025;74377510;69245303;-9259946;857962;22872371;82422028
787026;-371117538;-364089578;-9236343;863488;22880460;22761553
787027;421305685;413769830;-9234824;854041;22869397;82738065
787028;-275455876;-274146069;-9256081;846476;22873941;22806161
787029;-63598080;-60461393;-9262178;837384;22843532;82337779
787030;327731174;319389969;-9232192;870634;22898444;23561288
787031;-448222225;-441854280;-9237171;841292;22874184;81234436
787032;279054937;275687104;-9226077;860458;22882525;25016055
787033;6522444;2466410;-9282244;829162;22838941;79419434
787034;-327846826;-321180010;-9229687;866560;22885051;27191556
787035;426770146;418671078;-9236693;866833;22896157;76952981
787036;-326608614;-324119748;-9254126;858837;22865548;29950515
787037;4661324;6652100;-9239274;858504;22863449;73917789
787038;280479820;272594214;-9230826;881344;22891059;33263300
787039;-448306453;-441470412;-9242086;869166;22881591;70361646
787040;326568567;322059063;-9218449;889928;22898683;37045226
787041;-61748996;-64631308;-9256610;859494;22871146;66372740
787042;-276962316;-270835289;-9264025;842005;22856541;41220727
787043;421575616;413081292;-9234892;873489;22898052;62030651
787044;-370118617;-366552537;-9236910;882389;22908027;45683707
787045;72543202;73335334;-9244445;859665;22882969;57486331
787046;226091520;218824341;-9254212;849139;22902050;50299251
787047;-437887185;-430744904;-9228620;865962;22902822;52819754
787048;365776145;360205393;-9242009;846336;22885896;54960686
787049;-128754150;-130439074;-9258248;869141;22880008;48174711
787050;-219516945;-214112093;-9237546;873681;22894421;59618022
787051;405942813;397250478;-9255530;853017;22871368;43586875
787052;-404886741;-400340945;-9250137;892352;22901294;64071808
787053;138389081;137962393;-9246020;883016;22877785;39257898
787054;165943278;159464179;-9275656;856081;22869013;68254677
787055;-416989657;-409773930;-9246766;883238;22879445;35250922
787056;395861585;389373073;-9243963;858389;22887880;72044433
787057;-192906969;-193344371;-9264738;861585;22852693;31654455
787058;-157122743;-152583513;-9233954;865873;22869883;75380036
787059;380052134;371366506;-9240942;871603;22879991;28564450
787060;-430066581;-424654660;-9256375;869030;22877162;78175765
787061;200535517;198881322;-9253431;846007;22846327;26088366
787062;101463018;95933073;-9262579;860697;22843093;80339818
787063;-386334856;-379197700;-9244142;865792;22857164;24292953
787064;416030007;408760021;-9264226;854186;22847010;81841817
787065;-252713834;-251885410;-9266325;864597;22850013;23152866
787066;-91179618;-87600759;-9248401;859571;22846604;82627669
787067;344654592;336191168;-9267430;856217;22844096;22704746
787068;-445150993;-438999803;-9241442;876352;22855317;82703714
787069;257584571;254693363;-9253009;865164;22842461;22994252
787070;34307093;29809041;-9238161;891750;22896405;82026090
787071;-346502937;-339683959;-9261900;867618;22858304;24032000
787072;425789410;417866679;-9245811;866909;22869853;80638523
787073;-306626022;-304634615;-9272640;849715;22856337;25771801
787074;-23192106;-20727714;-9218700;884369;22876561;78605064
787075;300660181;292542839;-9287069;851020;22851409;28140040
787076;-449557777;-442907387;-9255065;880337;22878306;75919744
787077;308135897;304054028;-9247692;853700;22878045;31098176
787078;-33945898;-37339438;-9260309;864631;22875251;72661145
787079;-298552324;-292196121;-9264819;849356;22856891;34625326
787080;424976153;416615522;-9235033;863790;22872541;68926169
787081;-353329207;-350219899;-9246306;868800;22882013;38575837
787082;45068855;46352456;-9221354;879556;22875127;64794973
787083;249025732;241481344;-9279470;836787;22859537;42847684
787084;-443357098;-436360264;-9217403;883511;22905655;60376640
787085;350832951;345672618;-9232072;854058;22869683;47329390
787086;-101674504;-103863654;-9246054;837952;22857979;55745403
787087;-243618747;-237918489;-9214779;874717;22895180;52015108
787088;413578666;404940339;-9243485;855833;22867925;51065975
787089;-391777322;-387636561;-9247112;861499;22884053;56727048
787090;111925465;111973034;-9224029;876595;22884049;46448251
787091;191052974;184226022;-9232418;879590;22887116;61273420
787092;-426705356;-419518634;-9257262;851767;22826952;41960341
787093;384733525;378613755;-9236829;860782;22854493;65630246
787094;-167225783;-168162854;-9230382;877811;22875511;37725644
787095;-183096102;-178197542;-9255453;831854;22850905;69700411
787096;391774097;383051827;-9255022;870195;22871445;33869849
787097;-420973614;-415909222;-9249676;869431;22878865;73370030
787098;175784678;174607799;-9247202;847560;22840460;30468288
787099;128144563;122170871;-9273702;850530;22846784;76474572
787100;-399926114;-392778517;-9241429;859767;22865028;27583185
787101;409060292;402076488;-9244701;852561;22862451;79026534
787102;-228930696;-228670839;-9267054;864102;22854950;25347840
787103;-118331575;-114372462;-9228326;869038;22853154;80964923
787104;360217181;351601096;-9275793;832115;22832384;23761181
787105;-440214161;-434376537;-9267323;853427;22852731;82240930
787106;235094634;232675020;-9225779;874491;22883541;22884253
787107;61917469;56958903;-9263641;838762;22875362;82749051
787108;-363735010;-356787938;-9233412;859153;22873233;22747549
787109;423052753;415386248;-9232802;858402;22888008;82509819
787110;-285470438;-283945088;-9272512;851473;22866675;23306956
787111;-51041408;-48132224;-9233966;882214;22883767;81589388
787112;319584494;311294519;-9254993;865629;22880520;24597248
787113;-449010931;-442558711;-9256849;859938;22872046;79970112
787114;288445922;284848571;-9254638;859933;22875993;26534638
787115;-6114611;-9977826;-9255569;856989;22865608;77668791
787116;-318992964;-312429815;-9256418;860757;22858884;29181781
787117;426601058;418383616;-9267067;870677;22866700;74767799
787118;-335234645;-332572932;-9282854;854869;22849582;32360904
787119;17289177;19058786;-9242137;864162;22846707;71306278
787120;270868748;263075289;-9272469;866560;22852586;36016917
787121;-447218884;-440342626;-9280494;855197;22826935;67429282
787122;334463202;329746641;-9232477;872716;22864328;40100398
787123;-74237017;-76904913;-9279330;841382;22852842;63194756
787124;-266755861;-260760405;-9250082;852983;22871812;44496157
787125;419460134;410912448;-9247466;861222;22862361;58665395
787126;-377232324;-373477926;-9243468;862481;22864622;49080162
787127;84889173;85464827;-9233254;866931;22850747;54021171
787128;215325273;208184358;-9276842;833011;22841309;53757465
787129;-434776516;-427617032;-9231223;886899;22889117;49360166
787130;372052279;366314393;-9250961;853738;22853358;58397841
787131;-140925593;-142364808;-9287987;838216;22829815;44759296
787132;-208431581;-203160217;-9221056;875272;22870890;62922218
787133;401793211;393103812;-9264955;866496;22831765;40344179
787134;-410289838;-405573678;-9259741;867682;22865373;67199458
787135;150173597;149512921;-9241766;865348;22852023;36253393
787136;154260296;147955426;-9253265;866026;22867221;71098594
787137;-412065365;-404846178;-9253764;845576;22865028;32558058
787138;400374613;393730137;-9265139;831253;22853329;74571029
787139;-204348125;-204552008;-9265429;855786;22865664;29342924
787140;-145181589;-140811746;-9246361;848797;22859430;77511722
787141;374207564;365543048;-9250158;878950;22887560;26695620
787142;-433642094;-428082389;-9272443;855176;22864392;79855496
787143;211552507;209666850;-9241681;864507;22877192;24685226
787144;89220966;83872669;-9288302;839095;22837482;81528708
787145;-379592853;-372504635;-9237269;867776;22859298;23363387
787146;418616584;411236343;-9238318;873348;22867340;82476940
787147;-263121437;-262066500;-9270984;858628;22850282;22749841
787148;-78679889;-75291144;-9224110;869047;22864375;82726425
787149;337184674;328746500;-9254306;841301;22869329;22863052
787150;-446690466;-440476770;-9244940;821239;22856196;82291259
787151;267531921;264387255;-9233267;835797;22865792;23674274
787152;21759603;17435511;-9257207;856085;22874265;81061201
787153;-338191146;-331454382;-9253760;844224;22849996;25234274
787154;426484492;418472405;-9250560;849344;22834752;79168733
787155;-315794926;-313596962;-9251272;864503;22853209;27472268
787156;-10569476;-8300774;-9236369;848588;22842299;76645883
787157;291611272;283611170;-9250129;852053;22845478;30257437
787158;-449247364;-442496307;-9230557;857945;22846178;73534058
787159;316615756;312372919;-9249288;829388;22835797;33621115
787160;-46576721;-49714670;-9245090;877354;22881190;69909828
787161;-288876364;-282632832;-9252492;854199;22869568;37460019
